[-0.760652, -0.740652] ; [0.89047, 0.91047] ; [1.41832, 1.43832]
[-0.756612, -0.736612] ; [0.890417, 0.910417] ; [1.41717, 1.43717]
[-0.753286, -0.733286] ; [0.890726, 0.910726] ; [1.41685, 1.43685]
[-0.749968, -0.729968] ; [0.891027, 0.911027] ; [1.41635, 1.43635]
[-0.747139, -0.727139] ; [0.89166, 0.91166] ; [1.41656, 1.43656]
[-0.743066, -0.723066] ; [0.891662, 0.911662] ; [1.41543, 1.43543]
[-0.739729, -0.719729] ; [0.891991, 0.911991] ; [1.41501, 1.43501]
[-0.73274, -0.71274] ; [0.892601, 0.912601] ; [1.41402, 1.43402]
[-0.729181, -0.709181] ; [0.892898, 0.912898] ; [1.4135, 1.4335]
[-0.725653, -0.705653] ; [0.893177, 0.913177] ; [1.41295, 1.43295]
[-0.722322, -0.702322] ; [0.893571, 0.913571] ; [1.41291, 1.43291]
[-0.718731, -0.698731] ; [0.893887, 0.913887] ; [1.41236, 1.43236]
[-0.715233, -0.695233] ; [0.894174, 0.914174] ; [1.41179, 1.43179]
[-0.711684, -0.691684] ; [0.894516, 0.914516] ; [1.41125, 1.43125]
[-0.708033, -0.688033] ; [0.894777, 0.914777] ; [1.41059, 1.43059]
[-0.704409, -0.684409] ; [0.89508, 0.91508] ; [1.41003, 1.43003]
[-0.70079, -0.68079] ; [0.895359, 0.915359] ; [1.40945, 1.42945]
[-0.697222, -0.677222] ; [0.895737, 0.915737] ; [1.40885, 1.42885]
[-0.69339, -0.67339] ; [0.895961, 0.915961] ; [1.40826, 1.42826]
[-0.689792, -0.669792] ; [0.896305, 0.916305] ; [1.40767, 1.42767]
[-0.686117, -0.666117] ; [0.89664, 0.91664] ; [1.40703, 1.42703]
[-0.682457, -0.662457] ; [0.896999, 0.916999] ; [1.40651, 1.42651]
[-0.678699, -0.658699] ; [0.897277, 0.917277] ; [1.40583, 1.42583]
[-0.675035, -0.655035] ; [0.897576, 0.917576] ; [1.40522, 1.42522]
[-0.671139, -0.651139] ; [0.897782, 0.917782] ; [1.4045, 1.4245]
[-0.667465, -0.647465] ; [0.898094, 0.918094] ; [1.40389, 1.42389]
[-0.659857, -0.639857] ; [0.898597, 0.918597] ; [1.40255, 1.42255]
[-0.656087, -0.636087] ; [0.898904, 0.918904] ; [1.40198, 1.42198]
[-0.652209, -0.632209] ; [0.899134, 0.919134] ; [1.40129, 1.42129]
[-0.648615, -0.628615] ; [0.899469, 0.919469] ; [1.40069, 1.42069]
[-0.644725, -0.624725] ; [0.899723, 0.919723] ; [1.40003, 1.42003]
[-0.640879, -0.620879] ; [0.899904, 0.919904] ; [1.39935, 1.41935]
[-0.637087, -0.617087] ; [0.900164, 0.920164] ; [1.39867, 1.41867]
[-0.633316, -0.613316] ; [0.900438, 0.920438] ; [1.39806, 1.41806]
[-0.629512, -0.609512] ; [0.900647, 0.920647] ; [1.39741, 1.41741]
[-0.626125, -0.606125] ; [0.900986, 0.920986] ; [1.39725, 1.41725]
[-0.622398, -0.602398] ; [0.901269, 0.921269] ; [1.39667, 1.41667]
[-0.619142, -0.599142] ; [0.901762, 0.921762] ; [1.3966, 1.4166]
[-0.615265, -0.595265] ; [0.901978, 0.921978] ; [1.39595, 1.41595]
[-0.611565, -0.591565] ; [0.902296, 0.922296] ; [1.39539, 1.41539]
[-0.60766, -0.58766] ; [0.902494, 0.922494] ; [1.39473, 1.41473]
[-0.604371, -0.584371] ; [0.902908, 0.922908] ; [1.39461, 1.41461]
[-0.600558, -0.580558] ; [0.903118, 0.923118] ; [1.394, 1.414]
[-0.596796, -0.576796] ; [0.903398, 0.923398] ; [1.39343, 1.41343]
[-0.592998, -0.572998] ; [0.903622, 0.923622] ; [1.39285, 1.41285]
[-0.585394, -0.565394] ; [0.904067, 0.924067] ; [1.39165, 1.41165]
[-0.581615, -0.561615] ; [0.904314, 0.924314] ; [1.39111, 1.41111]
[-0.577902, -0.557902] ; [0.904548, 0.924548] ; [1.39048, 1.41048]
[-0.574168, -0.554168] ; [0.904785, 0.924785] ; [1.38993, 1.40993]
[-0.570462, -0.550462] ; [0.905001, 0.925001] ; [1.38934, 1.40934]
[-0.566792, -0.546792] ; [0.905248, 0.925248] ; [1.38878, 1.40878]
[-0.563127, -0.543127] ; [0.905504, 0.925504] ; [1.38818, 1.40818]
[-0.559446, -0.539446] ; [0.90574, 0.92574] ; [1.38766, 1.40766]
[-0.555845, -0.535845] ; [0.906016, 0.926016] ; [1.3871, 1.4071]
[-0.552237, -0.532237] ; [0.906291, 0.926291] ; [1.3866, 1.4066]
[-0.548674, -0.528674] ; [0.90656, 0.92656] ; [1.38603, 1.40603]
[-0.545123, -0.525123] ; [0.906825, 0.926825] ; [1.38551, 1.40551]
[-0.541559, -0.521559] ; [0.907067, 0.927067] ; [1.385, 1.405]
