[-0.382204, -0.182204] ; [0.764228, 0.964228] ; [1.25127, 1.45127]
[-0.376352, -0.176352] ; [0.763888, 0.963888] ; [1.25053, 1.45053]
[-0.37057, -0.17057] ; [0.763548, 0.963548] ; [1.24979, 1.44979]
[-0.364885, -0.164885] ; [0.763207, 0.963207] ; [1.24905, 1.44905]
[-0.358923, -0.158923] ; [0.762844, 0.962844] ; [1.24827, 1.44827]
[-0.353679, -0.153679] ; [0.762518, 0.962518] ; [1.24758, 1.44758]
[-0.348241, -0.148241] ; [0.762174, 0.962174] ; [1.24685, 1.44685]
[-0.342849, -0.142849] ; [0.761828, 0.961828] ; [1.24612, 1.44612]
[-0.337636, -0.137636] ; [0.76148, 0.96148] ; [1.24539, 1.44539]
[-0.332503, -0.132503] ; [0.76113, 0.96113] ; [1.24467, 1.44467]
[-0.327417, -0.127417] ; [0.760777, 0.960777] ; [1.24394, 1.44394]
[-0.322425, -0.122425] ; [0.760424, 0.960424] ; [1.24322, 1.44322]
[-0.317502, -0.117502] ; [0.760069, 0.960069] ; [1.2425, 1.4425]
[-0.312548, -0.112548] ; [0.759704, 0.959704] ; [1.24176, 1.44176]
[-0.30792, -0.10792] ; [0.759356, 0.959356] ; [1.24106, 1.44106]
[-0.303267, -0.103267] ; [0.758999, 0.958999] ; [1.24035, 1.44035]
[-0.298718, -0.0987182] ; [0.758643, 0.958643] ; [1.23965, 1.43965]
[-0.294187, -0.0941867] ; [0.75828, 0.95828] ; [1.23893, 1.43893]
[-0.289783, -0.0897831] ; [0.757919, 0.957919] ; [1.23823, 1.43823]
[-0.285466, -0.0854663] ; [0.757557, 0.957557] ; [1.23753, 1.43753]
[-0.281187, -0.0811866] ; [0.75719, 0.95719] ; [1.23682, 1.43682]
[-0.27686, -0.0768605] ; [0.75681, 0.95681] ; [1.23609, 1.43609]
[-0.27295, -0.0729505] ; [0.756459, 0.956459] ; [1.23542, 1.43542]
[-0.268944, -0.0689437] ; [0.756089, 0.956089] ; [1.23473, 1.43473]
[-0.264983, -0.0649833] ; [0.755715, 0.955715] ; [1.23402, 1.43402]
[-0.261178, -0.061178] ; [0.755347, 0.955347] ; [1.23334, 1.43334]
[-0.257449, -0.0574486] ; [0.754976, 0.954976] ; [1.23265, 1.43265]
[-0.253895, -0.053895] ; [0.754604, 0.954604] ; [1.23197, 1.43197]
[-0.250397, -0.0503969] ; [0.754227, 0.954227] ; [1.23129, 1.43129]
[-0.247023, -0.0470229] ; [0.753853, 0.953853] ; [1.23062, 1.43062]
[-0.243699, -0.0436986] ; [0.753475, 0.953475] ; [1.22994, 1.42994]
[-0.240466, -0.0404661] ; [0.753095, 0.953095] ; [1.22926, 1.42926]
[-0.237336, -0.0373361] ; [0.752717, 0.952717] ; [1.22859, 1.42859]
[-0.234281, -0.0342806] ; [0.752336, 0.952336] ; [1.22792, 1.42792]
[-0.231314, -0.0313137] ; [0.751954, 0.951954] ; [1.22726, 1.42726]
[-0.228425, -0.0284251] ; [0.75157, 0.95157] ; [1.22659, 1.42659]
[-0.225627, -0.0256271] ; [0.751187, 0.951187] ; [1.22593, 1.42593]
[-0.222901, -0.0229008] ; [0.750801, 0.950801] ; [1.22527, 1.42527]
[-0.220206, -0.020206] ; [0.750406, 0.950406] ; [1.22459, 1.42459]
